"Unused static function","A static function that is never called or accessed may be an indication that the code is incomplete or has a typo.","recommendation","Static function yyinput is unreachable","/ruaronicola/codeql-codebases/garfield/challenge_src/src/tokens.cpp","1333","16","1333","22"
"Unused static function","A static function that is never called or accessed may be an indication that the code is incomplete or has a typo.","recommendation","Static function yyunput is unreachable","/ruaronicola/codeql-codebases/garfield/challenge_src/src/tokens.cpp","1292","17","1292","23"
"Use of goto","The goto statement can make the control flow of a function hard to understand, when used for purposes other than error handling.","warning","Multiple forward and backward goto statements may make function yyparse hard to understand.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/parser.cpp","1212","1","1212","7"
"Long switch case","A switch statement with too much code in its cases can make the control flow hard to follow. Consider wrapping the code for each case in a function and just using the switch statement to invoke the appropriate function in each case.","recommendation","Switch has at least one case that is too long: [[""37 (121 lines)""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/tokens.cpp:960:2:960:23""]].","/ruaronicola/codeql-codebases/garfield/challenge_src/src/tokens.cpp","765","3","1085","2"
"Commented-out code","Commented-out code makes the remaining code more difficult to read.","recommendation","This comment appears to contain commented-out code.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.hpp","46","2","46","50"
"Commented-out code","Commented-out code makes the remaining code more difficult to read.","recommendation","This comment appears to contain commented-out code.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.hpp","34","2","34","27"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'int' before it is converted to 'long long'.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","204","11","204","15"
"Missing return statement","All functions that are not void should return a value on every exit path.","error","Function yywrap should return a value of type int but does not return a value here","/ruaronicola/codeql-codebases/garfield/challenge_src/src/tokens.cpp","495","25","495","27"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/builtins.cpp:110:7:110:15""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/builtins.cpp","108","13","108","32"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:456:7:456:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","454","14","454","25"
