func_name,function_signature,filename,filepath,start_line,end_line,start_column,end_column,start_offset,end_offset,line_map
setSearchString,core/src/main/java/jenkins/widgets/HistoryPageFilter.java:112:11::jenkins.widgets.HistoryPageFilter.void setSearchString(@NonNullStringsearchString),HistoryPageFilter.java,core/src/main/java/jenkins/widgets/HistoryPageFilter.java,112,114,11,4,4373,4472,"[(112, ""'void setSearchString(@NonNull String searchString) {\\n        this.searchString = searchString;\\n    }'"")]"
configure,"core/src/main/java/jenkins/model/GlobalSCMRetryCountConfiguration.java:48:11::jenkins.model.GlobalSCMRetryCountConfiguration.boolean configure(StaplerRequestreq,JSONObjectjson)",GlobalSCMRetryCountConfiguration.java,core/src/main/java/jenkins/model/GlobalSCMRetryCountConfiguration.java,48,58,11,4,1788,2276,"[(48, '\'boolean configure(StaplerRequest req, JSONObject json) throws FormException {\\n        try {\\n            // for compatibility reasons, this value is stored in Jenkins\\n            Jenkins.get().setScmCheckoutRetryCount(json.getInt(""scmCheckoutRetryCount""));\\n            return true;\\n        } catch (IOException e) {\\n            throw new FormException(e, ""quietPeriod"");\\n        } catch (JSONException e) {\\n            throw new FormException(e.getMessage(), ""quietPeriod"");\\n        }\\n    }\'')]"
whenFileIsCopied100TimesConcurrently,core/src/test/java/hudson/FilePathTest.java:163:12::hudson.FilePathTest.List<Future<Integer>> whenFileIsCopied100TimesConcurrently(finalFilefile),FilePathTest.java,core/src/test/java/hudson/FilePathTest.java,163,213,12,4,5984,7789,"[(163, ""'List<Future<Integer>> whenFileIsCopied100TimesConcurrently(final File file) throws InterruptedException {\\n        List<Callable<Integer>> r = new ArrayList<>();\\n        for (int i = 0; i < 100; i++) {\\n            r.add(() -> {\\n                class Sink extends OutputStream {\\n                    private Exception closed;\\n                    private final AtomicInteger count = new AtomicInteger();\\n\\n                    private void checkNotClosed() throws IOException {\\n                        if (closed != null)\\n                            throw new IOException(closed);\\n                    }\\n\\n                    @Override\\n                    public void write(int b) throws IOException {\\n                        count.incrementAndGet();\\n                        checkNotClosed();\\n                    }\\n\\n                    @Override\\n                    public void write(byte[] b) throws IOException {\\n                        count.addAndGet(b.length);\\n                        checkNotClosed();\\n                    }\\n\\n                    @Override\\n                    public void write(byte[] b, int off, int len) throws IOException {\\n                        count.addAndGet(len);\\n                        checkNotClosed();\\n                    }\\n\\n                    @Override\\n                    public void close() {\\n                        closed = new Exception();\\n                    }\\n                }\\n\\n                FilePath f = new FilePath(channels.french, file.getPath());\\n                Sink sink = new Sink();\\n                f.copyTo(sink);\\n                return sink.count.get();\\n            });\\n        }\\n\\n        ExecutorService es = Executors.newFixedThreadPool(100);\\n        try {\\n            return es.invokeAll(r);\\n        } finally {\\n            es.shutdown();\\n        }\\n    }'"")]"
createValue,"core/src/main/java/hudson/model/BooleanParameterDefinition.java:83:11::hudson.model.BooleanParameterDefinition.ParameterValue createValue(StaplerRequestreq,JSONObjectjo)",BooleanParameterDefinition.java,core/src/main/java/hudson/model/BooleanParameterDefinition.java,83,87,11,4,2820,3043,"[(83, ""'ParameterValue createValue(StaplerRequest req, JSONObject jo) {\\n        BooleanParameterValue value = req.bindJSON(BooleanParameterValue.class, jo);\\n        value.setDescription(getDescription());\\n        return value;\\n    }'"")]"
copyWithDefaultValue,core/src/main/java/hudson/model/StringParameterDefinition.java:76:11::hudson.model.StringParameterDefinition.ParameterDefinition copyWithDefaultValue(ParameterValuedefaultValue),StringParameterDefinition.java,core/src/main/java/hudson/model/StringParameterDefinition.java,76,83,11,4,2797,3155,"[(76, ""'ParameterDefinition copyWithDefaultValue(ParameterValue defaultValue) {\\n        if (defaultValue instanceof StringParameterValue) {\\n            StringParameterValue value = (StringParameterValue) defaultValue;\\n            return new StringParameterDefinition(getName(), value.value, getDescription());\\n        } else {\\n            return this;\\n        }\\n    }'"")]"
relatedTo,"core/src/main/java/hudson/model/User.java:690:12::hudson.model.User.boolean relatedTo(@NonNullRun<?,?>b)",User.java,core/src/main/java/hudson/model/User.java,690,703,12,4,26365,26872,"[(690, ""'boolean relatedTo(@NonNull Run<?, ?> b) {\\n        if (b instanceof RunWithSCM && ((RunWithSCM) b).hasParticipant(this)) {\\n            return true;\\n        }\\n        for (Cause cause : b.getCauses()) {\\n            if (cause instanceof Cause.UserIdCause) {\\n                String userId = ((Cause.UserIdCause) cause).getUserId();\\n                if (userId != null && idStrategy().equals(userId, getId())) {\\n                    return true;\\n                }\\n            }\\n        }\\n        return false;\\n    }'"")]"
printResults,core/src/main/java/hudson/cli/DisablePluginCommand.java:113:12::hudson.cli.DisablePluginCommand.void printResults(List<PluginWrapper.PluginDisableResult>results),DisablePluginCommand.java,core/src/main/java/hudson/cli/DisablePluginCommand.java,113,117,12,4,4624,4816,"[(113, ""'void printResults(List<PluginWrapper.PluginDisableResult> results) {\\n        for (PluginWrapper.PluginDisableResult oneResult : results) {\\n            printResult(oneResult, 0);\\n        }\\n    }'"")]"
makeSensitiveBuildVariables,"core/src/main/java/hudson/tasks/BuildWrapper.java:326:11::hudson.tasks.BuildWrapper.void makeSensitiveBuildVariables(AbstractBuildbuild,Set<String>sensitiveVariables)",BuildWrapper.java,core/src/main/java/hudson/tasks/BuildWrapper.java,326,328,11,4,14361,14469,"[(326, ""'void makeSensitiveBuildVariables(AbstractBuild build, Set<String> sensitiveVariables) {\\n        // noop\\n    }'"")]"
assertDoCheck,"test/src/test/java/hudson/tasks/BuildTriggerTest.java:245:12::hudson.tasks.BuildTriggerTest.void assertDoCheck(org.acegisecurity.Authenticationauth,@CheckForNullStringexpectedError,AbstractProject<?,?>project,Stringvalue)",BuildTriggerTest.java,test/src/test/java/hudson/tasks/BuildTriggerTest.java,245,256,12,4,11589,12227,"[(245, ""'void assertDoCheck(org.acegisecurity.Authentication auth, @CheckForNull String expectedError, AbstractProject<?, ?> project, String value) {\\n        FormValidation result;\\n        try (ACLContext c = ACL.as(auth)) {\\n            result = j.jenkins.getDescriptorByType(BuildTrigger.DescriptorImpl.class).doCheck(project, value);\\n        }\\n        if (expectedError == null) {\\n            assertEquals(result.renderHtml(), FormValidation.Kind.OK, result.kind);\\n        } else {\\n            assertEquals(result.renderHtml(), FormValidation.Kind.ERROR, result.kind);\\n            assertEquals(result.renderHtml(), expectedError);\\n        }\\n    }'"")]"
createOldWorkspaceOn,"test/src/test/java/hudson/model/WorkspaceCleanupThreadTest.java:190:12::hudson.model.WorkspaceCleanupThreadTest.FilePath createOldWorkspaceOn(Nodeslave,FreeStyleProjectp)",WorkspaceCleanupThreadTest.java,test/src/test/java/hudson/model/WorkspaceCleanupThreadTest.java,190,198,12,4,6495,6833,"[(190, ""'FilePath createOldWorkspaceOn(Node slave, FreeStyleProject p) throws Exception {\\n        p.setAssignedNode(slave);\\n        FreeStyleBuild b1 = r.buildAndAssertSuccess(p);\\n        assertEquals(slave, b1.getBuiltOn());\\n        FilePath ws = b1.getWorkspace();\\n        assertNotNull(ws);\\n        ws.act(new Touch(0));\\n        return ws;\\n    }'"")]"
